Wall time,Step,Value
1517782275,1,61
1517782275,2,107
1517782276,3,122
1517782276,4,137
1517782277,5,98
1517782277,6,53
1517782277,7,40
1517782278,8,159
1517782280,9,475
1517782280,10,62
1517782280,11,35
1517782280,12,67
1517782281,13,154
1517782281,14,92
1517782282,15,45
1517782282,16,92
1517782283,17,129
1517782283,18,188
1517782284,19,53
1517782284,20,31
1517782284,21,44
1517782284,22,21
1517782285,23,106
1517782285,24,32
1517782285,25,36
1517782285,26,33
1517782286,27,171
1517782287,28,39
1517782287,29,27
1517782288,30,214
1517782288,31,63
1517782289,32,111
1517782289,33,61
1517782289,34,44
1517782289,35,62
1517782290,36,33
1517782290,37,81
1517782290,38,36
1517782290,39,47
1517782291,40,53
1517782291,41,87
1517782292,42,374
1517782293,43,210
1517782294,44,157
1517782294,45,49
1517782294,46,48
1517782295,47,84
1517782295,48,100
1517782296,49,112
1517782296,50,120
1517782297,51,97
1517782297,52,71
1517782297,53,58
1517782297,54,34
1517782298,55,112
1517782299,56,113
1517782299,57,79
1517782299,58,40
1517782300,59,115
1517782300,60,74
1517782300,61,31
1517782301,62,51
1517782301,63,31
1517782301,64,60
1517782301,65,35
1517782302,66,190
1517782303,67,143
1517782303,68,77
1517782303,69,55
1517782304,70,112
1517782304,71,86
1517782304,72,27
1517782305,73,55
1517782305,74,88
1517782306,75,68
1517782306,76,48
1517782306,77,74
1517782306,78,30
1517782307,79,81
1517782307,80,70
1517782307,81,47
1517782308,82,70
1517782308,83,68
1517782309,84,145
1517782309,85,44
1517782309,86,70
1517782310,87,48
1517782310,88,68
1517782310,89,15
1517782310,90,90
1517782311,91,198
1517782312,92,154
1517782312,93,37
1517782312,94,20
1517782312,95,38
1517782313,96,120
1517782313,97,76
1517782314,98,106
1517782314,99,46
1517782314,100,60
1517782315,101,97
1517782315,102,108
1517782316,103,83
1517782316,104,50
1517782316,105,55
1517782316,106,63
1517782317,107,20
1517782317,108,174
1517782318,109,52
1517782319,110,238
1517782319,111,125
1517782320,112,199
1517782321,113,174
1517782321,114,32
1517782322,115,126
1517782322,116,90
1517782323,117,120
1517782323,118,80
1517782324,119,98
1517782324,120,29
1517782325,121,134
1517782326,122,228
1517782326,123,108
1517782327,124,76
1517782327,125,190
1517782328,126,71
1517782328,127,90
1517782329,128,330
1517782330,129,84
1517782330,130,24
1517782330,131,43
1517782331,132,116
1517782331,133,91
1517782331,134,41
1517782332,135,100
1517782332,136,76
1517782333,137,124
1517782333,138,164
1517782334,139,94
1517782334,140,39
1517782334,141,57
1517782334,142,48
1517782335,143,30
1517782335,144,48
1517782336,145,240
1517782336,146,82
1517782337,147,63
1517782337,148,118
1517782338,149,100
1517782338,150,49
1517782338,151,37
1517782339,152,137
1517782340,153,165
1517782340,154,52
1517782340,155,96
1517782341,156,81
1517782341,157,38
1517782342,158,103
1517782342,159,17
1517782342,160,86
1517782343,161,99
1517782343,162,79
1517782343,163,36
1517782344,164,102
1517782344,165,77
1517782344,166,100
1517782345,167,110
1517782345,168,77
1517782345,169,51
1517782346,170,167
1517782347,171,91
1517782347,172,224
1517782348,173,78
1517782348,174,39
1517782349,175,206
1517782349,176,52
1517782349,177,104
1517782350,178,255
1517782351,179,48
1517782351,180,66
1517782352,181,121
1517782352,182,96
1517782352,183,47
1517782353,184,53
1517782353,185,32
1517782353,186,102
1517782354,187,74
1517782354,188,232
1517782355,189,102
1517782355,190,74
1517782356,191,134
1517782356,192,51
1517782357,193,60
1517782357,194,97
1517782357,195,46
1517782358,196,30
1517782359,197,241
1517782359,198,135
1517782360,199,155
1517782361,200,74
1517782361,201,40
1517782361,202,40
1517782362,203,90
1517782362,204,42
1517782363,205,159
1517782363,206,60
1517782363,207,26
1517782364,208,128
1517782364,209,90
1517782365,210,152
1517782365,211,31
1517782365,212,32
1517782366,213,135
1517782366,214,141
1517782367,215,190
1517782368,216,56
1517782368,217,170
1517782369,218,95
1517782369,219,39
1517782369,220,60
1517782370,221,64
1517782370,222,19
1517782370,223,103
1517782371,224,166
1517782371,225,115
1517782371,226,46
1517782372,227,116
1517782372,228,90
1517782373,229,83
1517782373,230,141
1517782374,231,136
1517782374,232,61
1517782374,233,26
1517782374,234,34
1517782375,235,69
1517782375,236,72
1517782375,237,42
1517782376,238,238
1517782376,239,31
1517782378,240,306
1517782378,241,39
1517782378,242,55
1517782378,243,93
1517782379,244,33
1517782379,245,40
1517782380,246,334
1517782381,247,194
1517782381,248,65
1517782382,249,45
1517782382,250,88
1517782382,251,68
1517782383,252,136
1517782383,253,107
1517782384,254,81
1517782384,255,108
1517782385,256,179
1517782386,257,223
1517782387,258,95
1517782387,259,64
1517782387,260,20
1517782387,261,80
1517782389,262,285
1517782389,263,110
1517782389,264,66
1517782390,265,55
1517782390,266,65
1517782390,267,106
1517782391,268,56
1517782391,269,52
1517782391,270,59
1517782392,271,77
1517782392,272,41
1517782392,273,54
1517782392,274,90
1517782393,275,150
1517782393,276,93
1517782394,277,37
1517782394,278,71
1517782394,279,30
1517782395,280,92
1517782395,281,86
1517782395,282,49
1517782395,283,33
1517782396,284,33
1517782396,285,79
1517782396,286,65
1517782397,287,143
1517782397,288,83
1517782397,289,71
1517782398,290,40
1517782398,291,32
1517782398,292,145
1517782399,293,73
1517782399,294,49
1517782401,295,341
1517782402,296,239
1517782402,297,97
1517782403,298,106
1517782403,299,37
1517782403,300,81
1517782404,301,50
1517782404,302,48
1517782405,303,105
1517782405,304,98
1517782405,305,25
1517782405,306,70
1517782406,307,120
1517782406,308,61
1517782407,309,143
1517782407,310,24
1517782407,311,32
1517782408,312,153
1517782409,313,99
1517782409,314,38
1517782409,315,39
1517782409,316,61
1517782410,317,89
1517782410,318,69
1517782410,319,46
1517782411,320,13
1517782411,321,54
1517782411,322,45
1517782412,323,119
1517782412,324,138
1517782413,325,55
1517782413,326,126
1517782414,327,128
1517782414,328,31
1517782414,329,22
1517782415,330,100
1517782415,331,21
1517782415,332,46
1517782415,333,59
1517782416,334,74
1517782416,335,137
1517782416,336,27
1517782417,337,48
1517782417,338,90
1517782418,339,234
1517782419,340,165
1517782419,341,84
1517782419,342,39
1517782420,343,205
1517782421,344,48
1517782421,345,127
1517782421,346,39
1517782422,347,86
1517782422,348,67
1517782422,349,79
1517782423,350,184
1517782424,351,68
1517782424,352,204
1517782425,353,69
1517782425,354,38
1517782425,355,54
1517782425,356,61
1517782426,357,123
1517782427,358,195
1517782427,359,144
1517782428,360,52
1517782428,361,72
1517782428,362,40
1517782429,363,310
1517782430,364,59
1517782430,365,130
1517782431,366,91
1517782431,367,70
1517782431,368,18
1517782432,369,143
1517782432,370,46
1517782432,371,79
1517782432,372,57
1517782433,373,141
1517782433,374,30
1517782433,375,46
1517782434,376,99
1517782434,377,56
1517782436,378,335
1517782436,379,73
1517782436,380,37
1517782436,381,71
1517782437,382,46
1517782437,383,42
1517782437,384,118
1517782438,385,69
1517782438,386,93
1517782438,387,41
1517782439,388,80
1517782439,389,19
1517782439,390,81
1517782440,391,119
1517782440,392,99
1517782440,393,69
1517782441,394,41
1517782441,395,170
1517782442,396,37
1517782442,397,74
1517782442,398,119
1517782444,399,237
1517782444,400,45
1517782444,401,81
1517782444,402,20
