Wall time,Step,Value
1517768000.7214684,1,-0.699999988079071
1517768000.8076475,2,-0.75
1517768000.8984735,3,-0.7300000190734863
1517768001.004043,4,-0.7200000286102295
1517768001.0991504,5,-0.7300000190734863
1517768001.180226,6,-0.7145454287528992
1517768001.2697482,7,-0.75
1517768001.3626475,8,-0.75
1517768001.4562192,9,-0.7300000190734863
1517768001.4996214,10,-0.8199999928474426
1517768001.5630584,11,-0.800000011920929
1517768001.6450155,12,-0.7300000190734863
1517768001.7369475,13,-0.6845454573631287
1517768001.8392336,14,-0.6800000071525574
1517768001.9093602,15,-0.75
1517768001.9768946,16,-0.7599999904632568
1517768002.0547142,17,-0.7799999713897705
1517768002.136411,18,-0.7300000190734863
1517768002.2013316,19,-0.800000011920929
1517768002.271275,20,-0.7699999809265137
1517768002.3504705,21,-0.6899999976158142
1517768002.451253,22,-0.614545464515686
1517768002.542106,23,-0.7300000190734863
1517768002.6117616,24,-0.7599999904632568
1517768002.687507,25,-0.7599999904632568
1517768002.7600915,26,-0.7400000095367432
1517768002.8279757,27,-0.75
1517768002.9021146,28,-0.7400000095367432
1517768003.0173357,29,-0.5945454835891724
1517768003.1034606,30,-0.7099999785423279
1517768003.174124,31,-0.7599999904632568
1517768003.2570374,32,-0.75
1517768003.3471806,33,-0.7099999785423279
1517768003.4329975,34,-0.75
1517768003.5170608,35,-0.75
1517768003.5945227,36,-0.7599999904632568
1517768003.67429,37,-0.7099999785423279
1517768003.7653587,38,-0.7200000286102295
1517768003.860817,39,-0.6545454263687134
1517768003.940932,40,-0.7300000190734863
1517768004.0084124,41,-0.7900000214576721
1517768004.1080205,42,-0.7099999785423279
1517768004.2183473,43,-0.699999988079071
1517768004.3063488,44,-0.7400000095367432
1517768004.4253972,45,-0.6545454263687134
1517768004.5128117,46,-0.7400000095367432
1517768004.6122987,47,-0.7400000095367432
1517768004.7101207,48,-0.7200000286102295
1517768004.78827,49,-0.7599999904632568
1517768004.8651848,50,-0.7400000095367432
1517768004.950498,51,-0.7099999785423279
1517768005.0407834,52,-0.7599999904632568
1517768005.1317713,53,-0.75
1517768005.2456148,54,-0.699999988079071
1517768005.329035,55,-0.75
1517768005.3986187,56,-0.7699999809265137
1517768005.4673722,57,-0.7699999809265137
1517768005.5450888,58,-0.7200000286102295
1517768005.629545,59,-0.7400000095367432
1517768005.7103438,60,-0.7400000095367432
1517768005.8007703,61,-0.7400000095367432
1517768005.8794487,62,-0.7900000214576721
1517768005.9601681,63,-0.7400000095367432
1517768006.0463347,64,-0.7300000190734863
1517768006.1387687,65,-0.7400000095367432
1517768006.2206888,66,-0.7400000095367432
1517768006.3123202,67,-0.75
1517768006.3932471,68,-0.7300000190734863
1517768006.4791248,69,-0.7400000095367432
1517768006.5732765,70,-0.7300000190734863
1517768006.648814,71,-0.7400000095367432
1517768006.7680743,72,-0.5136363506317139
1517768006.8280768,73,-0.8199999928474426
1517768006.9141614,74,-0.7400000095367432
1517768007.0016985,75,-0.7599999904632568
1517768007.106623,76,-0.7200000286102295
1517768007.2095554,77,-0.7200000286102295
1517768007.2952356,78,-0.7400000095367432
1517768007.3826957,79,-0.7400000095367432
1517768007.4744284,80,-0.7200000286102295
1517768007.5542116,81,-0.7200000286102295
1517768007.6460192,82,-0.75
1517768007.7446215,83,-0.7200000286102295
1517768007.8181458,84,-0.7900000214576721
1517768007.891264,85,-0.7599999904632568
1517768007.9797757,86,-0.7200000286102295
1517768008.062878,87,-0.7300000190734863
1517768008.16543,88,-0.7300000190734863
1517768008.2843695,89,-0.6899999976158142
1517768008.389094,90,-0.6800000071525574
1517768008.4698575,91,-0.75
1517768008.525508,92,-0.7900000214576721
1517768008.608215,93,-0.7400000095367432
1517768008.6920912,94,-0.7099999785423279
1517768008.7790859,95,-0.7400000095367432
1517768008.8579724,96,-0.75
1517768008.9465477,97,-0.7200000286102295
1517768009.02539,98,-0.7599999904632568
1517768009.1003876,99,-0.7200000286102295
1517768009.1737196,100,-0.7300000190734863
1517768009.241574,101,-0.7799999713897705
1517768009.3373427,102,-0.7245454788208008
1517768009.4348788,103,-0.75
1517768009.5318992,104,-0.7099999785423279
1517768009.6270118,105,-0.7300000190734863
1517768009.688018,106,-0.800000011920929
1517768009.7792072,107,-0.6899999976158142
1517768009.8601692,108,-0.7300000190734863
1517768009.9399333,109,-0.7400000095367432
1517768010.0337465,110,-0.7400000095367432
1517768010.145209,111,-0.5688889026641846
1517768010.18888,112,-0.7400000095367432
1517768010.21964,113,-0.7900000214576721
1517768010.3095093,114,-0.6745454668998718
1517768010.4015138,115,-0.699999988079071
1517768010.4903104,116,-0.7599999904632568
1517768010.5981553,117,-0.6445454359054565
1517768010.6956,118,-0.75
1517768010.8017075,119,-0.699999988079071
1517768010.8853893,120,-0.7599999904632568
1517768010.9812028,121,-0.7200000286102295
1517768011.080034,122,-0.7200000286102295
1517768011.1727166,123,-0.6445454359054565
1517768011.2742555,124,-0.699999988079071
1517768011.405241,125,-0.5990909337997437
1517768011.4715056,126,-0.8100000023841858
1517768011.562339,127,-0.7200000286102295
1517768011.6655943,128,-0.6545454263687134
1517768011.7414072,129,-0.7300000190734863
1517768011.839366,130,-0.6800000071525574
1517768011.9091735,131,-0.7799999713897705
1517768012.0222583,132,-0.7200000286102295
1517768012.0982988,133,-0.7799999713897705
1517768012.1952572,134,-0.7099999785423279
1517768012.2844048,135,-0.75
1517768012.3846672,136,-0.6245454549789429
1517768012.4638677,137,-0.7599999904632568
1517768012.572081,138,-0.7099999785423279
