Wall time,Step,Value
1517759092.0675392,1264,-0.7251293659210205
1517759092.1084633,1360,-0.725881814956665
1517759092.4350297,2176,-0.7256138920783997
1517759092.695245,2816,-0.7270298600196838
1517759093.4739902,4648,-0.728878378868103
1517759093.5948095,4960,-0.7280783653259277
1517759094.307658,6732,-0.7259692549705505
1517759094.3830671,6916,-0.725669264793396
1517759094.6976905,7524,-0.723760187625885
1517759094.9984975,8044,-0.7195441722869873
1517759095.6434793,9088,-0.7225714325904846
1517759095.6599069,9124,-0.7231714129447937
1517759095.7675319,9380,-0.7225714325904846
1517759097.4170578,12312,-0.7342350482940674
1517759097.8965678,13452,-0.7334133982658386
1517759098.0518093,13840,-0.7328134179115295
1517759098.8116775,15636,-0.7318419814109802
1517759099.1478426,16456,-0.73089998960495
1517759099.3364413,16900,-0.7299454808235168
1517759099.4208622,17120,-0.7286454439163208
1517759099.9899218,18536,-0.7251783609390259
1517759100.1452773,18920,-0.7255420088768005
1517759100.3357484,19364,-0.7232965230941772
1517759100.434689,19620,-0.7212805151939392
1517759101.1951437,20872,-0.7169998288154602
1517759101.2831838,21100,-0.7189998626708984
1517759101.9616864,22564,-0.7204102873802185
1517759102.2675667,22972,-0.7192940711975098
1517759102.6384683,23460,-0.7192628979682922
1517759102.7643065,23676,-0.7186629176139832
1517759103.259634,24440,-0.7202174663543701
1517759104.8322418,27832,-0.7214045524597168
1517759105.1660364,28568,-0.7226147055625916
1517759105.585713,29532,-0.7261965274810791
1517759105.6924555,29788,-0.7259389758110046
1517759106.406958,31436,-0.7173606157302856
1517759106.879019,32548,-0.7152905464172363
1517759108.0083878,34832,-0.727611780166626
1517759109.0491898,37248,-0.71751469373703
1517759109.7834876,38872,-0.7239329218864441
1517759109.8457406,38992,-0.7225672602653503
1517759110.0436327,39440,-0.7212581634521484
1517759110.0931592,39556,-0.7220581769943237
1517759110.6923862,40936,-0.7246404886245728
1517759110.7769766,41148,-0.7242405414581299
1517759111.554343,42424,-0.7225728631019592
1517759111.9219444,43252,-0.727441668510437
1517759112.6090782,44908,-0.7304545640945435
1517759112.9969435,45732,-0.7285000085830688
1517759113.301455,46240,-0.72323077917099
1517759113.53423,46684,-0.7244853377342224
1517759114.3416612,48312,-0.7249762415885925
1517759115.055448,49804,-0.7306727170944214
1517759118.5492377,50304,-0.7343727350234985
1517759120.2849293,50584,-0.732627272605896
1517759122.886597,50996,-0.7327181696891785
1517759123.0405476,51020,-0.733018159866333
1517759123.8206913,51136,-0.7320181727409363
1517759132.565873,52484,-0.7296181917190552
1517759144.0354972,54296,-0.7275727391242981
1517759145.7399068,54572,-0.7264727354049683
1517759148.0208235,54932,-0.7296181917190552
1517759148.6907585,55040,-0.7299181818962097
1517759150.0891998,55260,-0.7320727109909058
1517759157.571255,56424,-0.7246692776679993
1517759161.0702481,56936,-0.7236601710319519
1517759163.6793196,57336,-0.721960186958313
1517759174.2011049,58944,-0.722407877445221
1517759180.8517997,59976,-0.7219862341880798
1517759188.863235,61188,-0.7199021577835083
1517759192.2099895,61716,-0.7222112417221069
1517759210.6995187,64528,-0.7042869925498962
1517759213.3460815,64936,-0.7010233998298645
1517759215.6579664,65284,-0.7039541006088257
1517759219.6889684,65912,-0.7053233981132507
1517759221.024284,66120,-0.7058870196342468
1517759224.8075075,66700,-0.7065324783325195
1517759225.6063342,66824,-0.7113324403762817
1517759234.604673,68188,-0.7145723700523376
1517759236.9314542,68544,-0.7129178643226624
1517759245.1729863,69752,-0.7146884202957153
1517759252.2364047,70768,-0.7158862948417664
1517759252.4929368,70808,-0.7158862948417664
1517759262.4937725,72248,-0.7097797989845276
1517759266.458596,72776,-0.7087399363517761
1517759266.6515868,72804,-0.7085399031639099
1517759267.7956898,72960,-0.7093399167060852
1517759273.6094143,73720,-0.7098489999771118
1517759274.2122867,73800,-0.7094489932060242
1517759276.8505907,74152,-0.7080823183059692
1517759277.6774533,74268,-0.7090585231781006
1517759283.6115944,75160,-0.7153909206390381
1517759286.7273057,75640,-0.715290904045105
1517759287.9992268,75820,-0.7158363461494446
1517759314.727008,79952,-0.7018448114395142
1517759326.3270915,81668,-0.693195641040802
1517759329.4562988,82152,-0.6846437454223633
1517759336.6537223,83252,-0.6843987107276917
1517759359.635843,86720,-0.6973189115524292
1517759374.5560253,88948,-0.6925539970397949
1517759383.8431256,90316,-0.6957074403762817
1517759390.1532476,91220,-0.6921408176422119
1517759390.6142473,91288,-0.692396342754364
1517759402.9101303,93156,-0.6887382864952087
1517759416.02896,95152,-0.6731595993041992
1517759424.1206846,96328,-0.6667264103889465
1517759431.6144328,97444,-0.6711789965629578
1517759434.7939522,97892,-0.6728285551071167
1517759435.2008448,97952,-0.6731285452842712
1517759435.6144395,98012,-0.6730285882949829
1517759448.2149773,99904,-0.6671657562255859
1517759472.2161999,103372,-0.654026448726654
1517759481.4817264,104732,-0.6550261378288269
1517759488.633196,105792,-0.6611788868904114
1517759516.4938157,109856,-0.6352260708808899
1517759520.9460685,110444,-0.6379725933074951
1517759521.2438376,110488,-0.6400794982910156
1517759533.1070805,112164,-0.6456620097160339
1517759545.9653268,114048,-0.6568253040313721
1517759549.6480317,114584,-0.651387631893158
1517759562.083793,116372,-0.6526904702186584
1517759567.0525665,117072,-0.6560518145561218
1517759569.0176122,117336,-0.6506587862968445
1517759579.0945556,118784,-0.6459029912948608
1517759595.0072205,120996,-0.6372336745262146
1517759602.5553844,122056,-0.6404266357421875
1517759609.4567895,123004,-0.6374796628952026
1517759622.390258,124856,-0.6415629982948303
1517759637.3339784,126984,-0.64113450050354
1517759640.1395948,127376,-0.6319544315338135
1517759661.7426882,130436,-0.6334329843521118
1517759663.039429,130620,-0.6419342756271362
1517759669.6024947,131520,-0.6325950026512146
1517759671.1313684,131736,-0.6284213066101074
1517759678.8722239,132852,-0.6192335486412048
1517759689.2592976,134292,-0.6043976545333862
1517759692.638623,134764,-0.6043375134468079
1517759693.1422372,134836,-0.6054920554161072
1517759714.121794,137700,-0.6106341481208801
1517759738.496806,141104,-0.5764198899269104
1517759743.0489259,141736,-0.5795665383338928
1517759748.7701597,142512,-0.585427463054657
1517759774.8147302,146092,-0.5793464183807373
1517759783.6895387,147332,-0.5945676565170288
1517759784.920221,147496,-0.5922565460205078
1517759787.2912452,147820,-0.593223512172699
1517759806.5994139,150456,-0.5924811959266663
1517759816.6309018,151860,-0.5989871025085449
1517759820.605635,152404,-0.597700297832489
1517759830.7468188,153768,-0.5964893698692322
1517759834.0249946,154196,-0.5989358425140381
1517759846.0745149,155776,-0.5813626050949097
1517759863.4726055,158184,-0.5819994807243347
1517759865.7008834,158496,-0.5758332014083862
1517759866.583589,158616,-0.5761877298355103
1517759886.7588346,161388,-0.5869269371032715
1517759887.3088598,161464,-0.5843269228935242
1517759902.1668684,163488,-0.5725181102752686
1517759909.652002,164508,-0.5753042697906494
1517759937.5755033,168304,-0.6023109555244446
1517759961.4431615,171540,-0.6049774885177612
1517759965.750252,172132,-0.5965627431869507
1517759969.5143735,172644,-0.5847265720367432
1517759985.5403035,174864,-0.5624099969863892
1517760011.8119705,178420,-0.5629568099975586
1517760012.6898656,178536,-0.5648022294044495
1517760021.550054,179720,-0.5594022274017334
1517760031.865415,181128,-0.5665420293807983
1517760052.0345595,183912,-0.5710774064064026
1517760056.0051064,184456,-0.5785016417503357
1517760068.0773928,186076,-0.5919047594070435
1517760090.200238,189120,-0.5677244663238525
1517760095.1040573,189788,-0.5552613735198975
1517760095.6413083,189860,-0.5553375482559204
1517760105.017899,191120,-0.5839880108833313
1517760105.6722584,191204,-0.5838879942893982
1517760107.3418374,191424,-0.579414427280426
1517760117.4495838,192752,-0.5695328116416931
1517760122.81625,193496,-0.5809241533279419
1517760129.0652852,194368,-0.5904276967048645
1517760139.1674,195780,-0.595364511013031
1517760144.781028,196540,-0.5985090136528015
1517760173.8096128,200548,-0.5728455781936646
1517760176.653613,200944,-0.5653218030929565
1517760189.3793123,202712,-0.5448334813117981
1517760194.6192358,203412,-0.558934211730957
1517760197.9445832,203860,-0.5593599081039429
1517760199.833078,204112,-0.5698421597480774
1517760203.2931068,204580,-0.5748332738876343
1517760218.437442,206652,-0.5771313905715942
1517760224.6028864,207508,-0.5813280344009399
1517760225.769613,207672,-0.5765269994735718
1517760232.7359788,208596,-0.5537272691726685
1517760242.2902453,209884,-0.5594161152839661
1517760248.5637758,210728,-0.5553386211395264
1517760274.8496776,214324,-0.5466105937957764
1517760281.6319726,215208,-0.5585494637489319
1517760296.3920612,217216,-0.5543439388275146
1517760304.1434033,218276,-0.5503342747688293
1517760318.5713606,220228,-0.5565372705459595
1517760329.4732208,221736,-0.5683104991912842
1517760330.037559,221808,-0.5682196021080017
1517760333.4850578,222260,-0.5530832409858704
1517760342.3220127,223488,-0.5366485118865967
1517760370.9840453,227392,-0.559892475605011
1517760373.120754,227684,-0.5550137162208557
1517760377.0051997,228216,-0.5467761754989624
1517760403.4035985,231872,-0.5286493301391602
1517760410.38809,232856,-0.5374895930290222
1517760416.3867433,233676,-0.5275678634643555
1517760442.6070611,237180,-0.4941040873527527
1517760444.9852486,237492,-0.4767419993877411
1517760456.7011945,239088,-0.46828845143318176
1517760474.2887752,241408,-0.4944985806941986
1517760483.1904964,242624,-0.5192134976387024
1517760501.3488088,245104,-0.49990761280059814
1517760506.5031471,245808,-0.4882468283176422
1517760509.6050553,246228,-0.48130422830581665
1517760509.7392335,246244,-0.4816216826438904
1517760515.5351822,247032,-0.47614753246307373
1517760522.3562,247972,-0.4732571840286255
1517760527.7555091,248708,-0.4871838688850403
1517760542.7592525,250732,-0.45772048830986023
1517760545.2655609,251072,-0.4569869339466095
1517760546.1688313,251196,-0.4608382284641266
1517760550.642762,251812,-0.4690774977207184
1517760560.12826,253076,-0.45705270767211914
1517760587.9395978,256900,-0.39909422397613525
1517760598.1212823,258280,-0.4201156795024872
1517760610.6771493,259948,-0.4070757031440735
1517760612.8722234,260240,-0.39777570962905884
1517760633.489872,262988,-0.3424581289291382
1517760641.9530976,264136,-0.33203259110450745
1517760645.5324607,264604,-0.3266615867614746
1517760656.1579366,266012,-0.29622459411621094
1517760676.2972953,268788,-0.2971416413784027
1517760686.0287998,270056,-0.32532021403312683
1517760704.989729,272580,-0.2528019845485687
1517760715.7417905,274048,-0.23750264942646027
1517760719.7547264,274604,-0.2085884064435959
1517760723.6196482,275112,-0.22024588286876678
1517760728.6474547,275796,-0.22875025868415833
1517760766.1084373,280656,-0.19172462821006775
1517760778.225489,282104,-0.20543299615383148
1517760780.821393,282372,-0.2053706794977188
1517760805.3433785,285392,-0.19229474663734436
1517760821.9113617,287324,-0.1256762444972992
1517760832.4854865,288624,-0.16349661350250244
1517760833.910677,288812,-0.17962215840816498
1517760837.0336075,289232,-0.183232381939888
1517760866.9224222,293144,-0.15004481375217438
1517760867.996179,293284,-0.15436601638793945
1517760877.99817,294540,-0.1695639044046402
1517760881.4317775,294988,-0.12908263504505157
1517760901.1933422,297536,-0.13301332294940948
1517760913.6291296,299164,-0.040268056094646454
1517760924.4071794,300604,-0.08194717764854431
1517760924.580705,300624,-0.07710432261228561
1517760945.970425,303476,-0.03481609746813774
1517760988.3007722,309056,-0.04454205557703972
1517760989.791187,309264,-0.07684154808521271
1517761009.3272874,311908,-0.0787404328584671
1517761017.3050606,313000,-0.0911390632390976
1517761018.543508,313172,-0.08407499641180038
1517761025.7842164,314144,-0.08202046900987625
1517761028.3698494,314472,-0.09527910500764847
1517761049.244297,317280,-0.06663844734430313
1517761050.8107102,317484,-0.03484416380524635
1517761071.136413,320168,-0.002344666514545679
1517761073.6894062,320508,-0.004549351986497641
1517761133.0288777,328196,0.15263791382312775
1517761135.7384334,328548,0.1339590847492218
1517761145.5843747,329820,0.12467170506715775
1517761164.1620557,332320,0.004000591579824686
1517761175.6553626,333824,-0.0660020187497139
1517761198.6868062,336856,-0.013147627003490925
1517761199.128406,336920,-0.00461370125412941
1517761206.8508081,337960,0.03712591901421547
1517761209.6029718,338324,0.04918840155005455
1517761219.0727184,339556,0.06081218644976616
1517761245.514621,342992,0.06595902144908905
1517761248.675529,343416,0.1291021853685379
1517761251.7344155,343816,0.19835583865642548
1517761256.5070226,344452,0.1866893172264099
1517761264.5009143,345484,0.0806497186422348
1517761278.9497337,347360,0.21072889864444733
1517761290.7785752,348884,0.1003333181142807
1517761299.3180313,349988,0.17421609163284302
1517761305.4647741,350776,0.14730875194072723
1517761332.3237457,354248,0.05050314590334892
1517761361.3248303,358016,0.13154414296150208
1517761376.9606926,360048,0.133490651845932
1517761385.8854084,361240,0.169546976685524
1517761409.3885872,364308,0.09563138335943222
1517761440.2060504,368288,0.24886161088943481
1517761441.9015298,368512,0.2503860890865326
1517761443.1264722,368672,0.2359546571969986
1517761454.4776978,370132,0.35440754890441895
1517761488.6347709,374564,0.3223985433578491
1517761495.559203,375456,0.2897789478302002
1517761525.255803,379220,0.31450504064559937
1517761533.0445814,380256,0.31126657128334045
1517761535.6995566,380592,0.27663013339042664
1517761577.5071006,386164,0.14409475028514862
1517761579.172379,386380,0.11112014204263687
1517761586.8864865,387436,0.09683734178543091
1517761609.3498778,390412,0.13227398693561554
1517761613.0488381,390892,0.15363039076328278
1517761614.2239661,391052,0.12927792966365814
1517761625.6773567,392592,0.12405404448509216
1517761637.9379444,394252,0.21903282403945923
1517761658.460757,396980,0.2460619956254959
1517761664.7738688,397836,0.21740545332431793
1517761670.4372568,398604,0.1777312308549881
1517761676.4411418,399396,0.18853312730789185
1517761683.2351813,400252,0.19715632498264313
1517761699.5496988,402380,0.24521388113498688
1517761718.125532,404892,0.39391395449638367
1517761718.6422222,404960,0.39695897698402405
1517761727.892381,406168,0.4068642258644104
1517761730.768437,406552,0.3957076668739319
1517761740.8902102,407968,0.38482096791267395
1517761744.7380342,408504,0.3683999478816986
1517761751.2301471,409364,0.3044881522655487
1517761754.4349725,409804,0.2664724886417389
1517761759.9205177,410532,0.20393851399421692
1517761776.3109217,412652,0.2673678398132324
1517761777.8376145,412856,0.26510149240493774
1517761791.4919362,414636,0.30911844968795776
